ActivityID,WBS,ActivityName,Stage,Workstream,DurationDays,Predecessors,Relationship,LagDays,EarlyStart,EarlyFinish,LateStart,LateFinish,TotalFloat,Critical,Owner,EstimatedCost,Deliverable,AcceptanceCriterion
A0,1.0,Project authorisation,A,Initiation,0,-,FS,0,0,0,0,0,0,YES,PropFlo Sponsor,,Signed authorisation / deposit,"Proposal signed, deposit paid"
A1,1.1,Kick-off & roles confirmation,A,Initiation,2,A0,FS,0,0,2,0,2,0,YES,Interon Project Lead,2000,"Kick-off pack, RACI",Roles and schedule agreed
A2,1.2,Stakeholder & sponsor confirmation,A,Initiation,1,A1,FS,0,2,3,2,3,0,YES,Interon Project Lead,,Stakeholder list,Sponsor and contacts confirmed
A3,1.5,Commercial scope decision (marketing vs build),A,Initiation,3,A1,FS,0,2,5,18,21,16,no,PropFlo Sponsor,,Scope decision record,Website/tracking/CRM ownership decided
A4,1.4,Access & assets collection,A,Initiation,10,A1,FS,0,2,12,23,33,21,no,PropFlo + Interon,,Access log,"Analytics, ad, CRM, brand assets received"
A13,2.2,Competitor research,A,Strategy,3,A1,FS,0,2,5,15,18,13,no,Interon Strategy,3000,Competitor review,Competitor set analysed
A5,1.3,Discovery & compliance information collection,A,Discovery,6,A1|A2,FS,0,3,9,3,9,0,YES,Interon Strategy + PropFlo Compliance,8000,Discovery notes,"Product, process, sales inputs captured"
A34,7.5,Google financial-services verification,A,Paid Search,10,A4,FS,0,12,22,35,45,23,no,Interon Paid Media,,Verified advertiser,Google FS verification complete
A6,3.1,Compliance questions completed,A,Compliance,3,A5,FS,0,9,12,9,12,0,YES,PropFlo Compliance,6500,Completed compliance questions,All compliance questions answered
A11,2.1,Audience confirmation,A,Strategy,2,A5,FS,0,9,11,9,11,0,YES,Interon Strategy,,Audience sign-off,Audiences confirmed
A27,6.1,CRM & lead-process preparation,A,CRM,6,A5,FS,0,9,15,34,40,25,no,PropFlo Sales + Interon,,Lead process,"Stages, owner, targets drafted"
A7,3.2,Approved claims list,A,Compliance,6,A6,FS,0,12,18,12,18,0,YES,PropFlo Compliance,,Approved claims,Claims signed off in writing
A8,3.3,Restricted claims list,A,Compliance,2,A6,FS,0,12,14,19,21,7,no,PropFlo Compliance,,Restricted claims,Prohibited claims recorded
A10,3.5,Privacy & consent wording confirmed,A,Compliance,3,A6,FS,0,12,15,18,21,6,no,PropFlo Compliance,,Consent wording,POPIA consent wording confirmed
A12,2.4,Offer confirmation,A,Strategy,2,A11,FS,0,11,13,11,13,0,YES,Interon Strategy,,Offer structure,Offer confirmed by PropFlo
A16,2.6,Measurement baseline,A,Strategy,2,A11,FS,0,11,13,16,18,5,no,Interon Paid Media,,Baseline definition,KPIs and baseline agreed
A9,3.4,Required disclaimers,A,Compliance,3,A7,FS,0,18,21,18,21,0,YES,PropFlo Compliance,,Disclaimer set,Disclaimers approved
A14,2.3,Keyword research,A,Strategy,3,A12,FS,0,13,16,13,16,0,YES,Interon Paid Media,3500,Keyword list,Seed keywords built
M1,3.9,MILESTONE: Compliance & claims approved (GATE),A,Compliance,0,A7|A8|A9|A10,FS,0,21,21,21,21,0,YES,PropFlo Compliance,,Compliance gate,All claims/disclaimers/consent approved
A15,2.4b,Negative keyword research,A,Strategy,2,A14,FS,0,16,18,16,18,0,YES,Interon Paid Media,,Negative list,Negatives built
A28,6.4,Email & WhatsApp workflow preparation,A,CRM,3,M1|A27,FS,0,21,24,40,43,19,no,Interon Content,,Approved scripts,Templates and consent approved
A35,8.2,SEO foundation content,A,SEO,8,M1,FS,0,21,29,41,49,20,no,Interon Content/SEO,,Foundation content,Core SEO pages drafted
A36,8.3,Partner marketing materials & LinkedIn setup,A,Partner,6,M1,FS,0,21,27,43,49,22,no,Interon Strategy,5500,Partner pack,Partner materials approved
M2,2.9,MILESTONE: Strategy approved,A,Strategy,0,A12|A13|A15|A16,FS,0,18,18,18,18,0,YES,PropFlo Sponsor,,Strategy gate,"Audience, offer, keywords signed off"
A29,6.5,Lead-handling readiness sign-off,A,CRM,2,A27|A28,FS,0,24,26,43,45,19,no,PropFlo Sales,,Readiness sign-off,Owner and response targets confirmed
A17,4.1,Landing page planning & sitemap sign-off,A,Website,3,M2,FS,0,18,21,18,21,0,YES,Interon Strategy,7000,Sitemap & briefs,Page structure approved
A22,5.1,Tracking architecture & plan,A,Tracking,2,M2,FS,0,18,20,31,33,13,no,Interon Paid Media,7000,Tracking plan,Events and conversions defined
A30,7.1,Campaign structure (Google + Meta setup),A,Paid Search,2,A15|M2,FS,0,18,20,33,35,15,no,Interon Paid Media,8000,Campaign skeleton,Campaigns/ad groups defined
M5,6.9,MILESTONE: Lead handling ready (GATE),A,CRM,0,A29,FS,0,26,26,45,45,19,no,PropFlo Sales,,Lead gate,Lead handling ready
A18,4.2,Landing page copy & creative,A,Website,6,A17|M1|A3,FS,0,21,27,21,27,0,YES,Interon Content,6500,Approved copy,Copy approved by PropFlo
A23,5.2,GA4 & GTM setup,A,Tracking,3,A22|A4,FS,0,20,23,33,36,13,no,Interon Dev/Tech,,GA4/GTM,Containers configured
A31,7.3,Ad copy draft,A,Paid Search,3,A30|M1,FS,0,21,24,35,38,14,no,Interon Content,,Draft ad copy,Draft within approved claims
A19,4.2b,Landing page build (interim/platform),A,Website,11,A18,FS,0,27,38,27,38,0,YES,WS4 owner (decision),35000,Built pages,Pages built to brief
A20,4.3,Form preparation,A,Website,3,A18,FS,0,27,30,35,38,8,no,Interon Dev/Tech,,Lead form,Form fields and validation ready
A24,5.3,Conversion configuration,A,Tracking,2,A23,FS,0,23,25,36,38,13,no,Interon Paid Media,,Conversions,Google Ads conversions linked
A32,7.3b,Ad copy approval,A,Paid Search,4,A31,FS,0,24,28,38,42,14,no,PropFlo Compliance,,Approved ad copy,Ad copy approved
A21,4.7,Landing page QA & approval,A,Website,2,A19|A20,FS,0,38,40,38,40,0,YES,Interon + PropFlo,,QA sign-off,Mobile/speed/links pass; PropFlo approval
A25,5.4,Lead-source capture & UTM,A,Tracking,2,A24,FS,0,25,27,38,40,13,no,Interon Paid Media,,UTM scheme,Lead-source capture live
M3,4.9,MILESTONE: Landing pages approved (GATE),A,Website,0,A21,FS,0,40,40,40,40,0,YES,PropFlo Sponsor,,Pages gate,Pages and forms approved
